44683313	2021-08-30T23:56:10.000Z	1432492371275513859	Going out to dinner with my mother  and my aunts  &  they all help raise me ❤   @ Pies'n'Thighs 	{'coordinates': {'type': 'Point', 'coordinates': [-73.96135, 40.71122]}, 'place_id': '011add077f4d2da3'}
4789540095	2021-09-03T12:22:26.000Z	1433767338214580228	I only look cute when we go out but when I go over his house I go in leggings oversized shirt and a messy bun 	{'place_id': '39411d80c106aa80'}
1044695311229349888	2021-09-03T12:12:25.000Z	1433764816787759117	Good Back-to-School advice! 	{'place_id': '01a9a39529b27f36'}
90714627	2021-09-03T12:02:33.000Z	1433762334267351040	 starts working as soon as he gets to college  	{'place_id': 'a27eec9bf69a7abb'}
1260656990277304322	2021-09-03T12:02:11.000Z	1433762242651119639	It’s simple when you are patient enough…“Take the money you make from your job or business and invest it into assets that pay you passively Once you have more monthly passive income than expenses, going to work is now a choice“Get money, buy income””-	{'place_id': '00c39537733fa112'}
26660385	2021-09-03T11:30:28.000Z	1433754263000424457	Gonna start  when I’m dropping my son off to school. Father, Son bonding.	{'place_id': '25d1ef4322ba8e3c'}
621368515	2021-09-03T07:52:01.000Z	1433699285162467328	Incredible amounts of flooding thru out  its Incredible some of the footage I've seen my heart and prayers go out to  everyone affected 🙏	{'place_id': '002e24c6736f069d'}
288448427	2021-09-03T06:16:26.000Z	1433675233454698506	Second part of N 0 Deep goes crazy Im tryna go out	{'place_id': '3d3c56338b6a3b4a'}
105146946	2021-09-03T06:08:52.000Z	1433673328980635658	Knife Talk about to be my going out to the club song 🔥🔥🔥🔥	{'place_id': '25d1ef4322ba8e3c'}
438809411	2021-09-03T06:03:49.000Z	1433672056168755206	Quality time & going out Music & photo shoots Gift giving & receiving…. Love languages ❣️🥰	{'place_id': '01a9a39529b27f36'}
123695125	2021-09-03T05:25:50.000Z	1433662500013322252	Don’t wanna go out cause I can’t ride without ya feel like I’m gone die without ya	{'place_id': 'fa3435044b52ecc7'}
2306573867	2021-09-03T04:58:42.000Z	1433655669358530561	i just want friends who like going out to eat every weekend.	{'place_id': 'fa3435044b52ecc7'}
100306054	2021-09-03T04:06:53.000Z	1433642628311130116	FAMU always going out bad. Always. They’re embarrassing and not even my HBCU lol	{'place_id': '011add077f4d2da3'}
384929695	2021-09-03T01:45:41.000Z	1433607094922620929	Normalize not wanting to go out 	{'place_id': '01a9a39529b27f36'}
745950050	2021-09-03T01:08:09.000Z	1433597650318897162	If im not broke once in a while then what wil motivate me to go to work tomorrow	{'place_id': '01a9a39529b27f36'}
57430592	2021-09-03T00:53:12.000Z	1433593887231197189	         Gotta go to work   , set up another session	{'place_id': '0687589242640f20'}
1060729388671606787	2021-09-03T00:41:10.000Z	1433590861879779336	Tomorrow afternoon! Back to school giveaway event with   	{'place_id': '011add077f4d2da3'}
308060994	2021-09-03T00:26:22.000Z	1433587135504920581	Join us 0/0 for our annual Back to School show!   	{'coordinates': {'type': 'Point', 'coordinates': [-73.9911294, 40.6632816]}, 'place_id': '011add077f4d2da3'}
1244355075386064898	2021-09-03T00:03:02.000Z	1433581265085681666	thoughts n prayers going out to PC 🙏🏼 	{'place_id': '002e24c6736f069d'}
26660385	2021-09-03T00:02:57.000Z	1433581241618534402	I’m so tired. Back to school right into Holiday SZN is get money time but the hours I work be crazy	{'place_id': '25d1ef4322ba8e3c'}
2966903297	2021-09-04T23:35:15.000Z	1434299048572370947	Smh I don’t even feel like going out tonight after my experience last night, like I’ll pass.	{'place_id': '011add077f4d2da3'}
203609511	2021-09-04T23:03:32.000Z	1434291066522554369	Not even joking y’all I am about to go out with a guy I met on Facebook marketplace. He said “is this desk still available?” And I said “it is not but I am”	{'place_id': '011add077f4d2da3'}
287470559	2021-09-04T22:45:14.000Z	1434286462061760513	Mike Leach is going out sad	{'place_id': '01a9a39529b27f36'}
919890572	2021-09-04T21:56:03.000Z	1434274081155829762	Ready to go out and thrilled because it’s Karaoke night at the Globe. Got two songs lined up. Any suggestions for a third of its not too crazy	{'place_id': '00c39537733fa112'}
87632515	2021-09-04T21:44:17.000Z	1434271123122884609	I wanna have one of those movie last moments in life, where a song starts playing, a flashback of my life happens and I go out peacefully.	{'place_id': 'b046074b1030a44d'}
1144490669374726145	2021-09-04T21:33:43.000Z	1434268464269692944	They really be letting ya go out SO SAD over these niggas Lmfaoo😭😭😭	{'place_id': 'b74cebcb62a1a686'}
919266656	2021-09-04T21:13:33.000Z	1434263386905358339	 nah man we going out sad! 😔	{'place_id': 'c5e2e95296cb121d'}
1288563389996978179	2021-09-04T21:11:28.000Z	1434262862793433091	Happy Saturday!Back to school teachers. Comfy pants  just arrived. 	{'place_id': '011add077f4d2da3'}
2919200747	2021-09-04T20:57:41.000Z	1434259394452131843	 When my kids were going to school, we had to show proof of vaccinations every year. Back then, everyone accepted vaccine requirements as common sense. Now many are selfish and foolish.	{'place_id': '01a9a39529b27f36'}
26362829	2021-09-04T20:49:06.000Z	1434257235878764548	Miami going out sad	{'place_id': '01a9a39529b27f36'}
1213492396673003520	2021-09-04T20:29:28.000Z	1434252292866314248	Go out with some friends and family for a walk around your new town BEFORE you buy that new house… the conversations and observations by all will help you in ways you didn’t think of. 	{'place_id': 'ef8a0ca90efdf8cb'}
176783626	2021-09-04T20:09:05.000Z	1434247163740053511	 Nothing. I am not going out of my way to celebrate it. If others want to celebrate me I won't reject it though	{'place_id': '00c39537733fa112'}
630751819	2021-09-04T19:39:41.000Z	1434239765939953667	Frantically trying to figure out which dating app king just hit me with a “going out tonight?” and I’m losing this battle	{'place_id': '011add077f4d2da3'}
39550885	2021-09-04T19:15:28.000Z	1434233670970363912	I want to dress in my nicest casual clothing and go out to a nice dinner in NY but i can’t 🤣	{'place_id': 'dc4ad595a56393ac'}
260542043	2021-09-04T17:31:34.000Z	1434207521615618053	 Most days when I go out! Which is why I hide at home. 	{'place_id': 'b417858579cae104'}
39550885	2021-09-04T17:24:10.000Z	1434205660703567875	Y’all don’t know how badly I want to go out. But I also feel so guilty 😔😔	{'place_id': '7356b662670b2c31'}
160010881	2021-09-04T16:26:07.000Z	1434191051502362627	Oh how I love the first day of college football season, when everyone around me gets out their hats and jerseys to celebrate their teams and I get to bury my face in my lap and pretend I didn't go to college	{'place_id': '01a9a39529b27f36'}
15752714	2021-09-04T16:01:24.000Z	1434184833421484032	my 0yr old coworker clementine had to leave the carousel because she’s going back to school 😔	{'place_id': '011add077f4d2da3'}
919890572	2021-09-04T15:52:27.000Z	1434182579842846725	Woke up feeling like a new person. If it stays like this I might be able to go out tonight	{'place_id': '00c39537733fa112'}
305085572	2021-09-04T15:33:28.000Z	1434177804019589129	 I go out occasionally but not very often . And I rarely go unmasked.	{'place_id': '00c55f041e27dc51'}
21469731	2021-09-04T15:15:47.000Z	1434173350520180740	TODAY, 0PM - 0PM IN WARD 0! FREE EVENT! Sept 0 | Benning Courts Community End of Summer Back to School  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}}
4763733149	2021-09-04T14:46:58.000Z	1434166101559107585	Food then on my way to school to study.	{'place_id': '07d9f10396c87000'}
1371225079011536909	2021-09-04T14:09:43.000Z	1434156725511278596	Putting henny in your metal water bottle and bringing it to school &gt;&gt;&gt;	{'place_id': '00c39537733fa112'}
20010519	2021-09-04T12:55:31.000Z	1434138052490895366	It's back to school time, and that means school buses are returning to our roads. This year, drivers passing buses will get more than a reminder about school bus safety. They’re more likely to get fines too -thanks to new bus cameras 	{'place_id': '28f64c48dc40e28e'}
1292909777752915970	2021-09-04T12:37:17.000Z	1434133465155489792	   I think my humans are supposed to go out to dinner tonight but that’s all so far. How about you? 	{'place_id': '00c39537733fa112'}
830968942898315264	2021-09-04T12:28:27.000Z	1434131240475578375	 Isn't it awesome? Your kids are getting one on one education. Nothing better. I hope you join a group. My friends all home schooled their kids. Back in the 0's. Not only great education, unbelievable bond...all went to college, graduate school. All scholarships.	{'place_id': '002e24c6736f069d'}
985934425	2021-09-04T12:09:27.000Z	1434126458985848838	Getting ready go out to eat with my beautiful girlfriend 💙👸🏾🇬🇭	{'place_id': '00c39537733fa112'}
975017605609263104	2021-09-04T10:45:39.000Z	1434105369832341505	I'm raising money for Welcome Back to School...I've got the backpacks, now please, help me fill them up! 😊 Click to Donate:   	{'place_id': '00c39537733fa112'}
1167136028701970434	2021-09-04T10:37:13.000Z	1434103247560712197	It’s Saturday   Kids start on Wednesday 😬 going back up to school today to work on my room a bit more…I’m sharing my    and hoping for a little  🤣     👩🏻‍🏫 	{'place_id': '00c55f041e27dc51'}
158230725	2021-09-04T08:51:25.000Z	1434076621292646400	Going out is literally the only thing that lived up to the hype of “being grown” Y’all can keep everything else, hell I’ll go back to school and do chores!	{'place_id': '01a9a39529b27f36'}
1300965549908914177	2021-09-04T04:11:40.000Z	1434006222877958144	i’m commuting to college and this shii max . i’m most definitely dorming next year 😭	{'place_id': 'e4faa50d904ab815'}
299801115	2021-09-04T03:54:20.000Z	1434001860420046849	Used up the dark bananas I stuck in the freezer.  Now I gotta go out and buy more butter!! 🤤🤤     @ Bogota 	{'place_id': 'e363ac0012f77f07', 'coordinates': {'type': 'Point', 'coordinates': [-74.0292, 40.8751]}}
919890572	2021-09-04T03:27:21.000Z	1433995068843642886	I really need this cold to stop because I wanna go out drinking at my favorite bar	{'place_id': '00c39537733fa112'}
1112441428230225920	2021-09-04T03:01:29.000Z	1433988559120261126	oh man we needed that win. now make some adjustments and go out and slam these dudes this weekend and sweep it up. keep da faith rolling🙏🏻	{'place_id': '00c55f041e27dc51'}
48027211	2021-09-04T02:56:02.000Z	1433987188027535360	Indie goes to school with me. I am back to teaching in person. Indie’s looking out the window where I look for deer. I am so glad for Indie’s company, and take her wherever I can.   	{'place_id': '5a700e3c73cbf9b9', 'coordinates': {'type': 'Point', 'coordinates': [-74.21182, 40.94979]}}
922577419193724929	2021-09-04T02:29:24.000Z	1433980487018729474	I really suffer from Revenge Bedtime Procrastination Cause I been at work from 0-0 and im bout to go home shower and go out to have to work 0-0 again 😭	{'place_id': '27485069891a7938'}
19203954	2021-09-04T02:03:46.000Z	1433974034958589952	They gotta interview the shit outta Naomi. How you gon go out like that. You're becoming a villain.	{'place_id': '011add077f4d2da3'}
104629778	2021-09-04T01:51:46.000Z	1433971016171196428	 I need  the real Bible genius to school this chick.	{'place_id': '00c55f041e27dc51'}
100306054	2021-09-04T01:51:04.000Z	1433970837439254528	The ONE time I wanna go out at night all my friends wanna be fake busy, and all my new friends out of town 😭.	{'place_id': '011add077f4d2da3'}
1206377347739521026	2021-09-04T01:45:52.000Z	1433969529940480003	It’s women out here that plan dates, initiate romance, pay, hyu first. And love you out loud. Everything 0/0 go out and find her.	{'place_id': '01a9a39529b27f36'}
23208179	2021-09-04T01:34:56.000Z	1433966779198550019	I thought i wanted to go out ... but ima stay home	{'place_id': '23a06e5cc6d83009'}
273248015	2021-09-04T01:29:34.000Z	1433965427697360897	 Guy goes to college for 0 min and now he’s spitting this stuff lmfao 🤣 	{'place_id': '002e24c6736f069d'}
438684740	2021-09-04T01:26:37.000Z	1433964684403695620	Going out in hell’s kitchen tonight while I’m back in the city for 0 hours. This is also an open invite for  to join. What’re you doing? Come out with us babe ❤️	{'place_id': '00c39537733fa112'}
1339472095206662144	2021-09-04T01:03:15.000Z	1433958806569029635	0 out of the 0  recent college graduates sitting by the firepit behind me went away to college upstate NY all came home demtards the 0 that stayed home with mom and stepdad ( mine) is a happy 	{'place_id': '364a45c10832ed51'}
250600837	2021-09-04T00:26:53.000Z	1433949652747968513	Back to school and thrilled to be back in the teacher's seat/kitchen counter. 	{'place_id': '011add077f4d2da3'}
1242320714	2021-09-05T23:40:25.000Z	1434662736118665222	Realizing I can still watch   before going out 💀 gonna use it to pregame a little	{'place_id': '01a9a39529b27f36'}
1000598018	2021-09-05T22:57:48.000Z	1434652009429356547	 But you are still going out tonight	{'place_id': 'cf24f6a1fc150ee7'}
1251987348	2021-09-05T22:23:20.000Z	1434643334908334083	 Get up every morning and go to work to provide for their family	{'place_id': '44453d2ae8e47fd5'}
709180064	2021-09-05T22:14:03.000Z	1434641000522297344	i miss buying a new pair of sneakers every year for back to school 😭	{'place_id': 'b046074b1030a44d'}
391547128	2021-09-05T22:11:51.000Z	1434640447717130240	The best thing we can do is go out and do whatever we want... for someone else ::: post ur memes and then do some good 	{'place_id': '011add077f4d2da3'}
27592473	2021-09-05T21:54:49.000Z	1434636159636942850	    I was infuriating then and it is infuriating now. Such a wasted opportunity due to ignorance, bigotry, and the reduction of a living, breathing, incredibly diverse neighborhood to a jingoistic rallying cry by those who never lived or worked or went to school there.	{'place_id': '011add077f4d2da3'}
1371225079011536909	2021-09-05T21:47:30.000Z	1434634318652092419	  u barely go to work	{'place_id': '00c39537733fa112'}
287868881	2021-09-05T20:57:51.000Z	1434621824550281220	  I still wear a mask in large outdoor gatherings and anytime I’m indoors! I don’t go out to eat, or to bars, either!	{'place_id': '011add077f4d2da3'}
1251987348	2021-09-05T20:31:41.000Z	1434615239077683204	 Hey girl, you wake up every morning and go to work....thats more than most people do in this country -=)	{'place_id': '44453d2ae8e47fd5'}
81640100	2021-09-05T20:05:22.000Z	1434608616242401282	  Agreed. Enough time to wake up late, have breakfast and coffee, and still make the fast, and the go out for early dinner/late lunch and a brewery. Not that we did that almost every Sunday after live-streaming Fr. Best Friend 0’s 0pm 👀	{'place_id': '00c55f041e27dc51'}
49248817	2021-09-05T19:36:49.000Z	1434601432674668547	I'm so annoyed that the sensitive babies in America didn't go out this weekend and see  This movie is excellent and deserved to make 0 million opening weekend like  did.	{'place_id': '01a9a39529b27f36'}
1130180060168609792	2021-09-05T19:14:13.000Z	1434595742279163904	Back to school lunch at  	{'place_id': '07d9c924c7080002'}
37703598	2021-09-05T17:12:36.000Z	1434565137176879104	   I think it is the labor Day is the end of summer mentality  because it is back to school time for the kids	{'place_id': '002e24c6736f069d'}
40591067	2021-09-05T17:07:13.000Z	1434563784031547398	me, an old man, after going out last night 	{'place_id': '011add077f4d2da3'}
214976391	2021-09-05T16:48:13.000Z	1434559001941979137	At the Brooklyn Restoration Center on Fulton until 0pm today, we join Chi Ossé,  and community organizations in a Back-to-School Bash with fun and entertainment plus giveaways of back packs, school supplies, and more!  	{'place_id': '0fc343453895e000'}
53108210	2021-09-05T16:38:32.000Z	1434556564548071427	Finished my shoulders and biceps day with these chin ups.These are the last reps of my first set (of 0). I’m going to work on doing them a little slower with more range of motion next time but I had a good rhythm considering it was the end of my workout.Next sets were 0 & 0. 	{'place_id': '00c39537733fa112'}
720799154	2021-09-05T16:21:26.000Z	1434552259480899590	 I used to just be given a can of them to take to school; I remember drinking the salt water at the bottom like it was a prize	{'place_id': '01a9a39529b27f36'}
427951650	2021-09-05T16:12:28.000Z	1434550004945989633	A soundtrack I made for the final holiday weekend of summer as the days grow shorter and cooler, kids go back to school, and summer slips away to fall @ Upper West Side 	{'coordinates': {'type': 'Point', 'coordinates': [-73.976178, 40.787181]}, 'place_id': '01a9a39529b27f36'}
135228776	2021-09-05T16:12:21.000Z	1434549975816589315	 Found out? To going out raise them in money?	{'place_id': '01a9a39529b27f36'}
32968728	2021-09-05T15:46:59.000Z	1434543593427963909	The twists in the first 0 episodes could be the basis for entire seasons alone. They going out swinging 	{'place_id': '011add077f4d2da3'}
18149194	2021-09-05T15:42:02.000Z	1434542346088206347	On one hand I don’t want a girlfriend because I don’t want to share the burrata ball when we go out but on the other hand I do want someone to go to that fucked up Poconos martini glass hot tub hotel with quite the predicament	{'place_id': '011add077f4d2da3'}
1032704701261930497	2021-09-05T14:40:12.000Z	1434526785958469639	    Can we just distribute them here?  My Mom is terrified to go out because in her county in NC the virus is on fire and people are just shrugging…	{'place_id': 'b046074b1030a44d'}
2822995156	2021-09-05T14:01:59.000Z	1434517169539362822	I use to go to work all the time with no sleep and now I just can’t hang	{'place_id': '609b31e0a50b4474'}
1212203104789094401	2021-09-05T14:01:37.000Z	1434517077000343561	Alot of people will never understand how grateful they should be to not have to work while going to college	{'place_id': 'c418b0c82daabc44'}
2397614207	2021-09-05T12:40:04.000Z	1434496554405179399	  Since COVID, I've been mostly in my apartment, living in my protected bubble/cave (only out to walk the dogs, supermarket or go to work 0 days a week since June 0)I am PRO-LIFE but I WILL MARCH bc my believes are mine & not to impose. Men imposing women not to abort?CRAZY	{'place_id': '002e24c6736f069d'}
1295867350953201664	2021-09-05T12:15:44.000Z	1434490429588770817	 We're vaccinated as kids to go to school so it's not that serious.	{'place_id': '002e24c6736f069d'}
4861170652	2021-09-05T12:09:01.000Z	1434488737510170624	So my sons school district is remote next week and I have to report to work. This is exactly why I wanted him to go to school in my district	{'place_id': '23a06e5cc6d83009'}
977917853004333056	2021-09-05T11:33:47.000Z	1434479873297461249	“Even just the kids in my community, I go out to just talk to them and tell them, ‘You know, you can make it. You just have to believe that you can and don’t listen to all the people,’” Delaney said. “I think it’s very important to ... never give up on yourself.” 	{'place_id': '011add077f4d2da3'}
1395615037717426179	2021-09-05T08:21:29.000Z	1434431479598272512	Dude u can't have a group of blue check mark (all of them )  assholes trying to run a game on the public .it just isn't going to work .	{'place_id': '011add077f4d2da3'}
193517401	2021-09-05T08:21:14.000Z	1434431416280961025	Yo   not only did the power go out for you  but we had to get cooled down in the process!Nasty set, can't wait to see you in Texas electric🥵🔥🥳😁 	{'place_id': '27485069891a7938'}
1391256408679751683	2021-09-05T05:35:35.000Z	1434389727533281282	I just cried to school of rock lol	{'place_id': '011add077f4d2da3'}
803872328	2021-09-05T04:59:18.000Z	1434380597275811844	I have no business going out at 0am	{'place_id': '00c39537733fa112'}
197215449	2021-09-05T04:47:53.000Z	1434377724789993472	 There were no teachers like that when I went to school. Lol 😆	{'place_id': '00c55f041e27dc51'}
1029120089415667712	2021-09-05T04:21:56.000Z	1434371193625272320	*FREE Event. Open to the public.*Evento GRATUITO. @ 0 Lawrence Street -  BACK TO SCHOOL / REGRESO A CLASES Sponsored by:The Healthcare Education ProjectLULAC NYDominican American Cultural Club of YonkersSenator  Council Member  	{'place_id': 'b87b05856ab8dbd8'}
1171384295845519361	2021-09-05T03:16:42.000Z	1434354778230951939	You know it’s real when everytime you get dolled up to go out with him and he looks at you like it’s the first time everytime 😍😩❤️	{'place_id': '011add077f4d2da3'}
42640432	2021-09-05T02:10:43.000Z	1434338173417672707	Disabled vehicle, right lane blocked in  on I-0 (Van Wyck) NB before Northern Blvd/Citi Field/X0, stopped traffic back to College Point Blvd/x0A (SB)  	{'coordinates': {'type': 'Point', 'coordinates': [-73.83868, 40.75941]}, 'place_id': '00c39537733fa112'}
372822840	2021-09-05T02:04:49.000Z	1434336688499740672	I can't believe I used to DM  to go out and grab used weapons for me back in the day. Look how big  is now 😮 	{'place_id': 'ef8a0ca90efdf8cb'}
735975897715646464	2021-09-05T01:45:57.000Z	1434331938819612672	idc to go out .. i rather get drinks & food	{'place_id': '00c39537733fa112'}
623803642	2021-09-05T01:11:05.000Z	1434323163832279041	going to start doing this so i can go out w/ my gf instead of staying home having extreme anxiety 	{'place_id': '011add077f4d2da3'}
1074176215706165248	2021-09-05T00:44:19.000Z	1434316427222192133	              Well with Locast gone and no luck with the antenna I guess I’ll just have to go out into the night to find my own fun… have fun  I guess I’ll see you another time!	{'place_id': '011add077f4d2da3'}
1240901322729291776	2021-09-05T00:42:02.000Z	1434315852552286208	i wanna go out to eat 😕	{'place_id': '011add077f4d2da3'}
249333908	2021-09-05T00:31:57.000Z	1434313316038582278	Didn’t go out much this summer but these were my fav  	{'place_id': '01a9a39529b27f36'}
